"GID","Breeding Cycle","Managed_Treatment","Grain_Yield_BLUE"
6569128,"2013-14","Moderate Drought",3.42779993847098
6569128,"2013-14","Optimal Bed",6.07240912695721
6569128,"2013-14","Heat",1.54220351291077
6569128,"2013-14","Severe Drought",2.02065242304354
6569128,"2013-14","Optimal Flat",6.12097996178062
6688880,"2013-14","Moderate Drought",3.5134667374881
6688880,"2013-14","Optimal Bed",5.81322070781171
6688880,"2013-14","Heat",2.93518877483811
6688880,"2013-14","Severe Drought",2.26562209705623
6688880,"2013-14","Optimal Flat",7.0671610127401
6688916,"2013-14","Moderate Drought",3.51074464545993
6688916,"2013-14","Optimal Bed",6.38894839820823
6688916,"2013-14","Heat",2.22039575531545
6688916,"2013-14","Severe Drought",2.36864898357817
6688916,"2013-14","Optimal Flat",6.84110045161537
6688933,"2013-14","Moderate Drought",3.89822840746487
6688933,"2013-14","Optimal Bed",6.30708442696177
6688933,"2013-14","Heat",2.47105812962528
6688933,"2013-14","Severe Drought",2.43269601689846
6688933,"2013-14","Optimal Flat",5.78397285392969
6688934,"2013-14","Moderate Drought",3.57266626300604
6688934,"2013-14","Optimal Bed",6.47845182356188
6688934,"2013-14","Heat",2.29429371290401
6688934,"2013-14","Severe Drought",2.10920226225182
6688934,"2013-14","Optimal Flat",6.20207623899976
6688949,"2013-14","Moderate Drought",4.00819496842641
6688949,"2013-14","Optimal Bed",5.94022704976725
6688949,"2013-14","Heat",1.56604300746622
6688949,"2013-14","Severe Drought",2.4163247947453
6688949,"2013-14","Optimal Flat",6.39460346021587
6689268,"2013-14","Moderate Drought",3.24561099306259
6689268,"2013-14","Optimal Bed",6.07108036442653
6689268,"2013-14","Heat",1.35764464221738
6689268,"2013-14","Severe Drought",1.0984055049542
6689268,"2013-14","Optimal Flat",6.6633310749435
6689407,"2013-14","Moderate Drought",4.05879033175974
6689407,"2013-14","Optimal Bed",6.39260774643391
6689407,"2013-14","Heat",2.25056637079955
6689407,"2013-14","Severe Drought",3.00094012807863
6689407,"2013-14","Optimal Flat",7.10115615688254
6689482,"2013-14","Moderate Drought",3.63079353601008
6689482,"2013-14","Optimal Bed",6.00626278628086
6689482,"2013-14","Heat",1.71202763129058
6689482,"2013-14","Severe Drought",2.00938601327513
6689482,"2013-14","Optimal Flat",6.92517569952685
6689550,"2013-14","Moderate Drought",4.01695518889743
6689550,"2013-14","Optimal Bed",6.48850815330474
6689550,"2013-14","Heat",2.07650340868638
6689550,"2013-14","Severe Drought",2.48740745172033
6689550,"2013-14","Optimal Flat",6.99195728631481
6689556,"2013-14","Moderate Drought",3.14170643220651
6689556,"2013-14","Optimal Bed",4.77159837652922
6689556,"2013-14","Heat",2.67280303588987
6689556,"2013-14","Severe Drought",2.12451644419255
6689556,"2013-14","Optimal Flat",6.15314324154242
6689579,"2013-14","Moderate Drought",3.78818437804805
6689579,"2013-14","Optimal Bed",6.1022934764704
6689579,"2013-14","Heat",1.31529767432594
6689579,"2013-14","Severe Drought",2.2351403071131
6689579,"2013-14","Optimal Flat",6.62026826019719
6738288,"2013-14","Moderate Drought",3.85129851478058
6738288,"2013-14","Optimal Bed",5.67632900713997
6738288,"2013-14","Heat",1.92873172896904
6738288,"2013-14","Severe Drought",2.22411825434957
6738288,"2013-14","Optimal Flat",6.62902032093496
6861480,"2013-14","Moderate Drought",3.65926014700304
6861480,"2013-14","Optimal Bed",6.83155474614187
6861480,"2013-14","Heat",2.70552721721569
6861480,"2013-14","Severe Drought",2.26026807698337
6861480,"2013-14","Optimal Flat",6.78276656873952
6861485,"2013-14","Moderate Drought",3.62489706410392
6861485,"2013-14","Optimal Bed",6.7292869098612
6861485,"2013-14","Heat",2.6750405571566
6861485,"2013-14","Severe Drought",2.25689804677682
6861485,"2013-14","Optimal Flat",6.60674202574377
6861531,"2013-14","Moderate Drought",3.31176535789691
6861531,"2013-14","Optimal Bed",6.07403366325635
6861531,"2013-14","Heat",1.93356190772047
6861531,"2013-14","Severe Drought",1.928746937404
6861531,"2013-14","Optimal Flat",5.97113532133112
6861633,"2013-14","Moderate Drought",3.19880527952564
6861633,"2013-14","Optimal Bed",5.13306801690371
6861633,"2013-14","Heat",2.15839512909663
6861633,"2013-14","Severe Drought",2.08323147064954
6861633,"2013-14","Optimal Flat",5.52364626175249
6861663,"2013-14","Moderate Drought",3.81487974315368
6861663,"2013-14","Optimal Bed",6.28864204003155
6861663,"2013-14","Heat",2.43384695970902
6861663,"2013-14","Severe Drought",2.6301669990361
6861663,"2013-14","Optimal Flat",6.18442606595554
6861690,"2013-14","Moderate Drought",3.26834271319332
6861690,"2013-14","Optimal Bed",5.34741861627746
6861690,"2013-14","Heat",2.2975014822209
6861690,"2013-14","Severe Drought",1.84346744614163
6861690,"2013-14","Optimal Flat",6.53779498910979
6861862,"2013-14","Moderate Drought",4.05657650425169
6861862,"2013-14","Optimal Bed",6.59357815703641
6861862,"2013-14","Heat",2.29667940094764
6861862,"2013-14","Severe Drought",2.28915518648361
6861862,"2013-14","Optimal Flat",6.78174910074416
6861885,"2013-14","Moderate Drought",3.76843695917002
6861885,"2013-14","Optimal Bed",5.98572491745726
6861885,"2013-14","Heat",2.71232806401315
6861885,"2013-14","Severe Drought",2.18184096931898
6861885,"2013-14","Optimal Flat",5.49326835585391
6861890,"2013-14","Moderate Drought",3.60661044784974
6861890,"2013-14","Optimal Bed",6.12679996925344
6861890,"2013-14","Heat",3.02925958153051
6861890,"2013-14","Severe Drought",2.7058143815574
6861890,"2013-14","Optimal Flat",5.0944359948534
6861897,"2013-14","Moderate Drought",3.97486723685906
6861897,"2013-14","Optimal Bed",6.23174898693454
6861897,"2013-14","Heat",2.93641494999454
6861897,"2013-14","Severe Drought",2.64638744136337
6861897,"2013-14","Optimal Flat",5.5634647629974
6861915,"2013-14","Moderate Drought",3.35734760988201
6861915,"2013-14","Optimal Bed",6.05898303265799
6861915,"2013-14","Heat",2.24783800408562
6861915,"2013-14","Severe Drought",1.53953763970724
6861915,"2013-14","Optimal Flat",6.10602224511367
6861919,"2013-14","Moderate Drought",3.8540047042812
6861919,"2013-14","Optimal Bed",6.17435928888017
6861919,"2013-14","Heat",2.26447042273106
6861919,"2013-14","Severe Drought",2.3093789864791
6861919,"2013-14","Optimal Flat",6.40575088029413
6861967,"2013-14","Moderate Drought",3.74483464168223
6861967,"2013-14","Optimal Bed",5.46157393357245
6861967,"2013-14","Heat",2.21373570751977
6861967,"2013-14","Severe Drought",2.24238929654564
6861967,"2013-14","Optimal Flat",5.102733213259
6862002,"2013-14","Moderate Drought",4.33541314743624
6862002,"2013-14","Optimal Bed",5.76894223240261
6862002,"2013-14","Heat",2.41032842468723
6862002,"2013-14","Severe Drought",2.69977107196474
6862002,"2013-14","Optimal Flat",5.68774625617757
6862015,"2013-14","Moderate Drought",3.51403970570819
6862015,"2013-14","Optimal Bed",6.65141757282752
6862015,"2013-14","Heat",2.48243217182542
6862015,"2013-14","Severe Drought",2.14909400701984
6862015,"2013-14","Optimal Flat",5.58992941402158
6862021,"2013-14","Moderate Drought",3.52153549020438
6862021,"2013-14","Optimal Bed",5.12865494860786
6862021,"2013-14","Heat",2.31880580487863
6862021,"2013-14","Severe Drought",2.20144899912594
6862021,"2013-14","Optimal Flat",5.28749107239693
6862028,"2013-14","Moderate Drought",4.17662754757905
6862028,"2013-14","Optimal Bed",6.26678747967002
6862028,"2013-14","Heat",2.1471166202811
6862028,"2013-14","Severe Drought",2.39107997363578
6862028,"2013-14","Optimal Flat",6.50772842739774
6862030,"2013-14","Moderate Drought",2.98669214719491
6862030,"2013-14","Optimal Bed",5.32838836878654
6862030,"2013-14","Heat",1.90227712386511
6862030,"2013-14","Severe Drought",1.08679929285872
6862030,"2013-14","Optimal Flat",6.37889842014538
6862058,"2013-14","Moderate Drought",4.202607219015
6862058,"2013-14","Optimal Bed",5.72204128756054
6862058,"2013-14","Heat",2.39452299061511
6862058,"2013-14","Severe Drought",2.54591449991522
6862058,"2013-14","Optimal Flat",5.50457895032871
6862260,"2013-14","Moderate Drought",3.45154883332604
6862260,"2013-14","Optimal Bed",5.39976856141341
6862260,"2013-14","Heat",1.94142750802416
6862260,"2013-14","Severe Drought",1.8806400011818
6862260,"2013-14","Optimal Flat",5.93032717489351
6862300,"2013-14","Moderate Drought",3.09823714371561
6862300,"2013-14","Optimal Bed",5.96226360868748
6862300,"2013-14","Heat",2.53289090129876
6862300,"2013-14","Severe Drought",2.42042740288496
6862300,"2013-14","Optimal Flat",5.42798143695463
6862303,"2013-14","Moderate Drought",3.83856253530801
6862303,"2013-14","Optimal Bed",6.24525245255405
6862303,"2013-14","Heat",2.13824052405256
6862303,"2013-14","Severe Drought",2.60011792202243
6862303,"2013-14","Optimal Flat",6.0835703955626
6862314,"2013-14","Moderate Drought",3.72923778314443
6862314,"2013-14","Optimal Bed",5.60295643850276
6862314,"2013-14","Heat",2.31817344117331
6862314,"2013-14","Severe Drought",2.43304099098162
6862314,"2013-14","Optimal Flat",5.97436323671587
6862365,"2013-14","Moderate Drought",3.1796284872131
6862365,"2013-14","Optimal Bed",5.43138679446924
6862365,"2013-14","Heat",2.36722668891725
6862365,"2013-14","Severe Drought",0.866755418566683
6862365,"2013-14","Optimal Flat",4.20877387471621
6862370,"2013-14","Moderate Drought",3.27977814742503
6862370,"2013-14","Optimal Bed",5.33834316778898
6862370,"2013-14","Heat",2.48838078468288
6862370,"2013-14","Severe Drought",1.55016040902627
6862370,"2013-14","Optimal Flat",4.666535437766
6862387,"2013-14","Moderate Drought",3.28842487373287
6862387,"2013-14","Optimal Bed",5.89284253486163
6862387,"2013-14","Heat",2.52675179280755
6862387,"2013-14","Severe Drought",1.86381355563194
6862387,"2013-14","Optimal Flat",5.96643420533341
6862407,"2013-14","Moderate Drought",3.915657756645
6862407,"2013-14","Optimal Bed",5.90428624030526
6862407,"2013-14","Heat",2.75330777382657
6862407,"2013-14","Severe Drought",2.253268292239
6862407,"2013-14","Optimal Flat",5.53808821183591
6862457,"2013-14","Moderate Drought",3.91226045116483
6862457,"2013-14","Optimal Bed",6.49325118018593
6862457,"2013-14","Heat",2.8604832839366
6862457,"2013-14","Severe Drought",2.05831374989447
6862457,"2013-14","Optimal Flat",5.40380744683775
6862474,"2013-14","Moderate Drought",3.52207692873155
6862474,"2013-14","Optimal Bed",6.67329220043176
6862474,"2013-14","Heat",1.832390012595
6862474,"2013-14","Severe Drought",2.13603089495267
6862474,"2013-14","Optimal Flat",7.14765738409353
6862745,"2013-14","Moderate Drought",3.46067459423583
6862745,"2013-14","Optimal Bed",5.5609243366073
6862745,"2013-14","Heat",1.89155465331415
6862745,"2013-14","Severe Drought",2.06544706447287
6862745,"2013-14","Optimal Flat",5.58658582892399
6862771,"2013-14","Moderate Drought",3.65235043862319
6862771,"2013-14","Optimal Bed",5.41775154987219
6862771,"2013-14","Heat",1.78731327121561
6862771,"2013-14","Severe Drought",1.98403436150625
6862771,"2013-14","Optimal Flat",5.86503675313579
6862787,"2013-14","Moderate Drought",3.75825416220133
6862787,"2013-14","Optimal Bed",6.49973868551036
6862787,"2013-14","Heat",1.56496416557592
6862787,"2013-14","Severe Drought",1.59954743442351
6862787,"2013-14","Optimal Flat",6.23199178984997
6862797,"2013-14","Moderate Drought",3.78020232471116
6862797,"2013-14","Optimal Bed",5.92761357237102
6862797,"2013-14","Heat",2.25637594645613
6862797,"2013-14","Severe Drought",2.43439719587153
6862797,"2013-14","Optimal Flat",5.56294539758333
6862807,"2013-14","Moderate Drought",4.33688711668475
6862807,"2013-14","Optimal Bed",5.65999177278282
6862807,"2013-14","Heat",2.85939365204909
6862807,"2013-14","Severe Drought",2.56281513053308
6862807,"2013-14","Optimal Flat",5.64886444304151
6862975,"2013-14","Moderate Drought",3.59030486582364
6862975,"2013-14","Optimal Bed",6.19582804000112
6862975,"2013-14","Heat",1.45486970821701
6862975,"2013-14","Severe Drought",2.01134333209878
6862975,"2013-14","Optimal Flat",6.65621903876219
6863300,"2013-14","Moderate Drought",3.86416162396823
6863300,"2013-14","Optimal Bed",6.32790918882136
6863300,"2013-14","Heat",3.30815728193147
6863300,"2013-14","Severe Drought",2.38782862308058
6863300,"2013-14","Optimal Flat",5.71877178002336
6863318,"2013-14","Moderate Drought",3.7259128743771
6863318,"2013-14","Optimal Bed",6.04113024934258
6863318,"2013-14","Heat",2.64301399246887
6863318,"2013-14","Severe Drought",2.10464751300439
6863318,"2013-14","Optimal Flat",5.98911039162123
6863371,"2013-14","Moderate Drought",3.58347109176671
6863371,"2013-14","Optimal Bed",5.5072496575825
6863371,"2013-14","Heat",2.36780503515856
6863371,"2013-14","Severe Drought",1.91435668273709
6863371,"2013-14","Optimal Flat",5.43211105376212
6863396,"2013-14","Moderate Drought",3.56252042937511
6863396,"2013-14","Optimal Bed",6.24904976622142
6863396,"2013-14","Heat",2.58548143942614
6863396,"2013-14","Severe Drought",2.2614048686013
6863396,"2013-14","Optimal Flat",6.1555294449532
6863412,"2013-14","Moderate Drought",3.5479305546617
6863412,"2013-14","Optimal Bed",5.82797680993082
