"GID","Breeding Cycle","Managed_Treatment","Grain_Yield_iid_BLUP"
6569128,"2013-14","Moderate Drought",3.48446866370601
6569128,"2013-14","Optimal Bed",6.17542239950345
6569128,"2013-14","Heat",1.71850647917808
6569128,"2013-14","Severe Drought",1.96585306278849
6569128,"2013-14","Optimal Flat",5.87290382667758
6688880,"2013-14","Moderate Drought",3.56084339094669
6688880,"2013-14","Optimal Bed",5.99638663197097
6688880,"2013-14","Heat",3.00198926096381
6688880,"2013-14","Severe Drought",2.18586558986034
6688880,"2013-14","Optimal Flat",6.44242854863775
6688916,"2013-14","Moderate Drought",3.56148858341018
6688916,"2013-14","Optimal Bed",6.20648202054619
6688916,"2013-14","Heat",2.35725725595997
6688916,"2013-14","Severe Drought",2.29106898789477
6688916,"2013-14","Optimal Flat",6.2897325201984
6688933,"2013-14","Moderate Drought",3.88193001364634
6688933,"2013-14","Optimal Bed",6.12627493288183
6688933,"2013-14","Heat",2.56525380392953
6688933,"2013-14","Severe Drought",2.33374519976002
6688933,"2013-14","Optimal Flat",5.68234081699258
6688934,"2013-14","Moderate Drought",3.60625931569968
6688934,"2013-14","Optimal Bed",6.32069411825563
6688934,"2013-14","Heat",2.40930158858086
6688934,"2013-14","Severe Drought",2.03345361369525
6688934,"2013-14","Optimal Flat",5.92570983884794
6688949,"2013-14","Moderate Drought",3.96609090201153
6688949,"2013-14","Optimal Bed",5.90563924762672
6688949,"2013-14","Heat",1.74029016062275
6688949,"2013-14","Severe Drought",2.31847377028828
6688949,"2013-14","Optimal Flat",6.02219034954024
6689268,"2013-14","Moderate Drought",3.33639680265142
6689268,"2013-14","Optimal Bed",6.11742492018433
6689268,"2013-14","Heat",1.56945389639243
6689268,"2013-14","Severe Drought",1.10244179994418
6689268,"2013-14","Optimal Flat",6.17599955642466
6689407,"2013-14","Moderate Drought",4.00927121242966
6689407,"2013-14","Optimal Bed",6.2602796246565
6689407,"2013-14","Heat",2.37575308331678
6689407,"2013-14","Severe Drought",2.86871947248295
6689407,"2013-14","Optimal Flat",6.45562923174968
6689482,"2013-14","Moderate Drought",3.66334863699643
6689482,"2013-14","Optimal Bed",6.15709528296575
6689482,"2013-14","Heat",1.88880537468372
6689482,"2013-14","Severe Drought",1.96191523567494
6689482,"2013-14","Optimal Flat",6.34034765132422
6689550,"2013-14","Moderate Drought",3.99245403738389
6689550,"2013-14","Optimal Bed",6.23004129129229
6689550,"2013-14","Heat",2.21725181369527
6689550,"2013-14","Severe Drought",2.40428369832295
6689550,"2013-14","Optimal Flat",6.40553446076504
6689556,"2013-14","Moderate Drought",3.2547054166594
6689556,"2013-14","Optimal Bed",5.33747130326588
6689556,"2013-14","Heat",2.77101400664961
6689556,"2013-14","Severe Drought",2.05856539951641
6689556,"2013-14","Optimal Flat",5.94054931324927
6689579,"2013-14","Moderate Drought",3.79472193755749
6689579,"2013-14","Optimal Bed",6.16460936653614
6689579,"2013-14","Heat",1.49670690097804
6689579,"2013-14","Severe Drought",2.17643182354491
6689579,"2013-14","Optimal Flat",6.17736286790143
6738288,"2013-14","Moderate Drought",3.84792951975447
6738288,"2013-14","Optimal Bed",5.90018295654715
6738288,"2013-14","Heat",2.07959902968571
6738288,"2013-14","Severe Drought",2.16450627652545
6738288,"2013-14","Optimal Flat",6.17822165382378
6861480,"2013-14","Moderate Drought",3.73112225392162
6861480,"2013-14","Optimal Bed",6.32703673356096
6861480,"2013-14","Heat",2.62387401809968
6861480,"2013-14","Severe Drought",2.27355483275709
6861480,"2013-14","Optimal Flat",6.34407771316203
6861485,"2013-14","Moderate Drought",3.69617803259536
6861485,"2013-14","Optimal Bed",6.3189556857478
6861485,"2013-14","Heat",2.58487166785385
6861485,"2013-14","Severe Drought",2.27017527458077
6861485,"2013-14","Optimal Flat",6.24593935947464
